name,value,type
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.494,crypto
Litecoin,224.5,crypto
Bitcoin Cash,156.844,crypto
Binance Coin,59.55,crypto
EOS,16622.791,crypto
XRP,44160.201,crypto
Lumens,200824.395,crypto
Chainlink,2496.611,crypto
Polkadot,3240.525,crypto
Yearn.finance,2.488,crypto
US Dollar,17181.081,fiat
United Arab Emirates Dirham,63106.111,fiat
Argentine Peso,2919552.2,fiat
Australian Dollar,25277.442,fiat
Bangladeshi Taka,1776903.116,fiat
Bahraini Dinar,6467.44,fiat
Bermudian Dollar,17181.081,fiat
Brazil Real,89994.504,fiat
Canadian Dollar,23585.329,fiat
Swiss Franc,16066.046,fiat
Chilean Peso,14808030.379,fiat
Chinese Yuan,119540.809,fiat
Czech Koruna,395888.194,fiat
Danish Krone,121332.796,fiat
Euro,16298.523,fiat
British Pound Sterling,14016.79,fiat
Hong Kong Dollar,133772.758,fiat
Hungarian Forint,6828105.343,fiat
Indonesian Rupiah,268076412.042,fiat
Israeli New Shekel,58742.976,fiat
Indian Rupee,1416428.103,fiat
Japanese Yen,2346505.973,fiat
South Korean Won,22408768.95,fiat
Kuwaiti Dinar,5270.829,fiat
Sri Lankan Rupee,6318454.302,fiat
Burmese Kyat,36105445.86,fiat
Mexican Peso,339790.245,fiat
Malaysian Ringgit,75656.891,fiat
Nigerian Naira,7625065.453,fiat
Norwegian Krone,171903.591,fiat
New Zealand Dollar,26791.027,fiat
Philippine Peso,951402.361,fiat
Pakistani Rupee,3863280.031,fiat
Polish Zloty,76499.623,fiat
Russian Ruble,1074075.333,fiat
Saudi Riyal,64602.635,fiat
Swedish Krona,177826.768,fiat
Singapore Dollar,23297.546,fiat
Thai Baht,594890.766,fiat
Turkish Lira,320446.066,fiat
New Taiwan Dollar,527608.672,fiat
Ukrainian hryvnia,631758.48,fiat
Venezuelan bolívar fuerte,1720.341,fiat
Vietnamese đồng,408909735.731,fiat
South African Rand,298167.186,fiat
IMF Special Drawing Rights,12972.352,fiat
Silver - Troy Ounce,731.733,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.494,crypto
Litecoin,224.573,crypto
Bitcoin Cash,156.842,crypto
Binance Coin,59.546,crypto
EOS,16611.929,crypto
XRP,44170.018,crypto
Lumens,200835.234,crypto
Chainlink,2496.829,crypto
Polkadot,3240.537,crypto
Yearn.finance,2.489,crypto
US Dollar,17174.372,fiat
United Arab Emirates Dirham,63081.469,fiat
Argentine Peso,2918412.138,fiat
Australian Dollar,25267.571,fiat
Bangladeshi Taka,1776209.249,fiat
Bahraini Dinar,6464.914,fiat
Bermudian Dollar,17174.372,fiat
Brazil Real,89959.361,fiat
Canadian Dollar,23576.119,fiat
Swiss Franc,16059.772,fiat
Chilean Peso,14802247.96,fiat
Chinese Yuan,119494.129,fiat
Czech Koruna,395733.602,fiat
Danish Krone,121285.416,fiat
Euro,16292.159,fiat
British Pound Sterling,14011.316,fiat
Hong Kong Dollar,133720.521,fiat
Hungarian Forint,6825439.022,fiat
Indonesian Rupiah,267971730.314,fiat
Israeli New Shekel,58720.037,fiat
Indian Rupee,1415874.999,fiat
Japanese Yen,2345589.681,fiat
South Korean Won,22400018.502,fiat
Kuwaiti Dinar,5268.771,fiat
Sri Lankan Rupee,6315986.996,fiat
Burmese Kyat,36091346.967,fiat
Mexican Peso,339657.56,fiat
Malaysian Ringgit,75627.348,fiat
Nigerian Naira,7622087.925,fiat
Norwegian Krone,171836.464,fiat
New Zealand Dollar,26780.565,fiat
Philippine Peso,951030.846,fiat
Pakistani Rupee,3861771.45,fiat
Polish Zloty,76469.751,fiat
Russian Ruble,1073655.915,fiat
Saudi Riyal,64577.408,fiat
Swedish Krona,177757.329,fiat
Singapore Dollar,23288.448,fiat
Thai Baht,594658.466,fiat
Turkish Lira,320320.934,fiat
New Taiwan Dollar,527402.645,fiat
Ukrainian hryvnia,631511.783,fiat
Venezuelan bolívar fuerte,1719.669,fiat
Vietnamese đồng,408750059.698,fiat
South African Rand,298050.754,fiat
IMF Special Drawing Rights,12967.286,fiat
Silver - Troy Ounce,731.447,commodity
Gold - Troy Ounce,9.555,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.493,crypto
Litecoin,224.529,crypto
Bitcoin Cash,156.888,crypto
Binance Coin,59.536,crypto
