name,value,type
Bitcoin Cash,156.827,crypto
Binance Coin,59.472,crypto
EOS,16608.191,crypto
XRP,44189.011,crypto
Lumens,200703.647,crypto
Chainlink,2499.752,crypto
Polkadot,3249.604,crypto
Yearn.finance,2.493,crypto
US Dollar,17143.49,fiat
United Arab Emirates Dirham,62968.04,fiat
Argentine Peso,2913164.445,fiat
Australian Dollar,25222.137,fiat
Bangladeshi Taka,1773015.389,fiat
Bahraini Dinar,6453.289,fiat
Bermudian Dollar,17143.49,fiat
Brazil Real,89797.602,fiat
Canadian Dollar,23533.726,fiat
Swiss Franc,16030.895,fiat
Chilean Peso,14775631.549,fiat
Chinese Yuan,119279.263,fiat
Czech Koruna,395022.021,fiat
Danish Krone,121067.329,fiat
Euro,16262.863,fiat
British Pound Sterling,13986.122,fiat
Hong Kong Dollar,133480.073,fiat
Hungarian Forint,6813165.974,fiat
Indonesian Rupiah,267489881.501,fiat
Israeli New Shekel,58614.451,fiat
Indian Rupee,1413329.067,fiat
Japanese Yen,2341371.999,fiat
South Korean Won,22359740.29,fiat
Kuwaiti Dinar,5259.297,fiat
Sri Lankan Rupee,6304630.011,fiat
Burmese Kyat,36026449.925,fiat
Mexican Peso,339046.81,fiat
Malaysian Ringgit,75491.36,fiat
Nigerian Naira,7608382.397,fiat
Norwegian Krone,171527.479,fiat
New Zealand Dollar,26732.41,fiat
Philippine Peso,949320.766,fiat
Pakistani Rupee,3854827.472,fiat
Polish Zloty,76332.248,fiat
Russian Ruble,1071725.339,fiat
Saudi Riyal,64461.289,fiat
Swedish Krona,177437.697,fiat
Singapore Dollar,23246.573,fiat
Thai Baht,593589.19,fiat
Turkish Lira,319744.954,fiat
New Taiwan Dollar,526454.305,fiat
Ukrainian hryvnia,630376.241,fiat
Venezuelan bolívar fuerte,1716.577,fiat
Vietnamese đồng,408015072.725,fiat
South African Rand,297514.819,fiat
IMF Special Drawing Rights,12943.969,fiat
Silver - Troy Ounce,730.132,commodity
Gold - Troy Ounce,9.538,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.496,crypto
Litecoin,224.418,crypto
Bitcoin Cash,156.822,crypto
Binance Coin,59.469,crypto
EOS,16605.384,crypto
XRP,44179.905,crypto
Lumens,200696.73,crypto
Chainlink,2499.297,crypto
Polkadot,3249.278,crypto
Yearn.finance,2.491,crypto
US Dollar,17149.128,fiat
United Arab Emirates Dirham,62988.749,fiat
Argentine Peso,2914122.519,fiat
Australian Dollar,25230.432,fiat
Bangladeshi Taka,1773598.493,fiat
Bahraini Dinar,6455.412,fiat
Bermudian Dollar,17149.128,fiat
Brazil Real,89827.135,fiat
Canadian Dollar,23541.466,fiat
Swiss Franc,16036.167,fiat
Chilean Peso,14780490.919,fiat
Chinese Yuan,119318.491,fiat
Czech Koruna,395151.935,fiat
Danish Krone,121107.145,fiat
Euro,16268.212,fiat
British Pound Sterling,13990.722,fiat
Hong Kong Dollar,133523.972,fiat
Hungarian Forint,6815406.67,fiat
Indonesian Rupiah,267577852.849,fiat
Israeli New Shekel,58633.727,fiat
Indian Rupee,1413793.879,fiat
Japanese Yen,2342142.023,fiat
South Korean Won,22367093.9,fiat
Kuwaiti Dinar,5261.026,fiat
Sri Lankan Rupee,6306703.461,fiat
Burmese Kyat,36038298.207,fiat
Mexican Peso,339158.315,fiat
Malaysian Ringgit,75516.187,fiat
Nigerian Naira,7610884.621,fiat
Norwegian Krone,171583.89,fiat
New Zealand Dollar,26741.202,fiat
Philippine Peso,949632.976,fiat
Pakistani Rupee,3856095.237,fiat
Polish Zloty,76357.352,fiat
Russian Ruble,1072077.805,fiat
Saudi Riyal,64482.489,fiat
Swedish Krona,177496.052,fiat
Singapore Dollar,23254.218,fiat
Thai Baht,593784.408,fiat
Turkish Lira,319850.111,fiat
New Taiwan Dollar,526627.444,fiat
Ukrainian hryvnia,630583.557,fiat
Venezuelan bolívar fuerte,1717.142,fiat
Vietnamese đồng,408149259.618,fiat
South African Rand,297612.665,fiat
IMF Special Drawing Rights,12948.226,fiat
Silver - Troy Ounce,730.372,commodity
Gold - Troy Ounce,9.541,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.497,crypto
Litecoin,224.443,crypto
Bitcoin Cash,156.836,crypto
Binance Coin,59.48,crypto
EOS,16605.18,crypto
XRP,44186.198,crypto
Lumens,200764.536,crypto
Chainlink,2498.916,crypto
Polkadot,3250.37,crypto
Yearn.finance,2.492,crypto
US Dollar,17149.122,fiat
United Arab Emirates Dirham,62988.725,fiat
Argentine Peso,2914121.424,fiat
Australian Dollar,25230.422,fiat
Bangladeshi Taka,1773597.827,fiat
Bahraini Dinar,6455.409,fiat
Bermudian Dollar,17149.122,fiat
Brazil Real,89827.101,fiat
Canadian Dollar,23541.457,fiat
Swiss Franc,16036.161,fiat
Chilean Peso,14780485.366,fiat
Chinese Yuan,119318.446,fiat
Czech Koruna,395151.786,fiat
Danish Krone,121107.1,fiat
Euro,16268.206,fiat
British Pound Sterling,13990.716,fiat
Hong Kong Dollar,133523.922,fiat
Hungarian Forint,6815404.11,fiat
Indonesian Rupiah,267577752.326,fiat
Israeli New Shekel,58633.705,fiat
Indian Rupee,1413793.348,fiat
Japanese Yen,2342141.143,fiat
South Korean Won,22367085.498,fiat
Kuwaiti Dinar,5261.024,fiat
Sri Lankan Rupee,6306701.091,fiat
Burmese Kyat,36038284.668,fiat
Mexican Peso,339158.188,fiat
Malaysian Ringgit,75516.159,fiat
Nigerian Naira,7610881.762,fiat
Norwegian Krone,171583.826,fiat
New Zealand Dollar,26741.192,fiat
Philippine Peso,949632.619,fiat
Pakistani Rupee,3856093.788,fiat
Polish Zloty,76357.323,fiat
Russian Ruble,1072077.403,fiat
Saudi Riyal,64482.465,fiat
Swedish Krona,177495.986,fiat
Singapore Dollar,23254.209,fiat
Thai Baht,593784.185,fiat
Turkish Lira,319849.991,fiat
New Taiwan Dollar,526627.246,fiat
Ukrainian hryvnia,630583.32,fiat
Venezuelan bolívar fuerte,1717.141,fiat
Vietnamese đồng,408149106.286,fiat
South African Rand,297612.553,fiat
IMF Special Drawing Rights,12948.221,fiat
Silver - Troy Ounce,730.372,commodity
Gold - Troy Ounce,9.541,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.503,crypto
Litecoin,224.588,crypto
Bitcoin Cash,156.844,crypto
Binance Coin,59.508,crypto
EOS,16609.757,crypto
XRP,44190.996,crypto
Lumens,200823.577,crypto
Chainlink,2499.388,crypto
Polkadot,3251.177,crypto
Yearn.finance,2.493,crypto
US Dollar,17142.896,fiat
United Arab Emirates Dirham,62965.86,fiat
Argentine Peso,2913063.583,fiat
Australian Dollar,25221.264,fiat
Bangladeshi Taka,1772954.002,fiat
Bahraini Dinar,6453.066,fiat
Bermudian Dollar,17142.896,fiat
Brazil Real,89794.493,fiat
Canadian Dollar,23532.911,fiat
Swiss Franc,16030.34,fiat
Chilean Peso,14775119.974,fiat
Chinese Yuan,119275.133,fiat
Czech Koruna,395008.344,fiat
Danish Krone,121063.137,fiat
Euro,16262.3,fiat
British Pound Sterling,13985.638,fiat
Hong Kong Dollar,133475.452,fiat
Hungarian Forint,6812930.083,fiat
Indonesian Rupiah,267480620.227,fiat
Israeli New Shekel,58612.421,fiat
Indian Rupee,1413280.134,fiat
Japanese Yen,2341290.934,fiat
South Korean Won,22358966.131,fiat
Kuwaiti Dinar,5259.115,fiat
Sri Lankan Rupee,6304411.727,fiat
Burmese Kyat,36025202.585,fiat
Mexican Peso,339035.071,fiat
Malaysian Ringgit,75488.746,fiat
Nigerian Naira,7608118.972,fiat
Norwegian Krone,171521.54,fiat
New Zealand Dollar,26731.484,fiat
Philippine Peso,949287.898,fiat
Pakistani Rupee,3854694.006,fiat
Polish Zloty,76329.605,fiat
Russian Ruble,1071688.233,fiat
Saudi Riyal,64459.058,fiat
Swedish Krona,177431.554,fiat
Singapore Dollar,23245.768,fiat
Thai Baht,593568.639,fiat
Turkish Lira,319733.884,fiat
New Taiwan Dollar,526436.077,fiat
Ukrainian hryvnia,630354.415,fiat
Venezuelan bolívar fuerte,1716.518,fiat
Vietnamese đồng,408000946.063,fiat
South African Rand,297504.518,fiat
IMF Special Drawing Rights,12943.521,fiat
Silver - Troy Ounce,730.107,commodity
Gold - Troy Ounce,9.538,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.506,crypto
Litecoin,224.701,crypto
Bitcoin Cash,156.853,crypto
Binance Coin,59.508,crypto
EOS,16605.164,crypto
XRP,44201.95,crypto
Lumens,200829.614,crypto
Chainlink,2499.245,crypto
Polkadot,3250.888,crypto
Yearn.finance,2.493,crypto
US Dollar,17148.798,fiat
United Arab Emirates Dirham,62987.537,fiat
Argentine Peso,2914066.476,fiat
Australian Dollar,25229.947,fiat
Bangladeshi Taka,1773564.385,fiat
Bahraini Dinar,6455.288,fiat
Bermudian Dollar,17148.798,fiat
Brazil Real,89825.407,fiat
Canadian Dollar,23541.013,fiat
Swiss Franc,16035.858,fiat
Chilean Peso,14780206.671,fiat
Chinese Yuan,119316.197,fiat
Czech Koruna,395144.335,fiat
Danish Krone,121104.816,fiat
Euro,16267.899,fiat
British Pound Sterling,13990.453,fiat
Hong Kong Dollar,133521.404,fiat
Hungarian Forint,6815275.601,fiat
Indonesian Rupiah,267572706.985,fiat
Israeli New Shekel,58632.6,fiat
Indian Rupee,1413766.69,fiat
Japanese Yen,2342096.981,fiat
South Korean Won,22366663.753,fiat
Kuwaiti Dinar,5260.925,fiat
Sri Lankan Rupee,6306582.175,fiat
Burmese Kyat,36037605.144,fiat
Mexican Peso,339151.792,fiat
Malaysian Ringgit,75514.735,fiat
Nigerian Naira,7610738.254,fiat
Norwegian Krone,171580.591,fiat
New Zealand Dollar,26740.687,fiat
Philippine Peso,949614.713,fiat
Pakistani Rupee,3856021.079,fiat
Polish Zloty,76355.883,fiat
Russian Ruble,1072057.188,fiat
Saudi Riyal,64481.249,fiat
Swedish Krona,177492.639,fiat
Singapore Dollar,23253.771,fiat
Thai Baht,593772.989,fiat
Turkish Lira,319843.96,fiat
New Taiwan Dollar,526617.316,fiat
Ukrainian hryvnia,630571.43,fiat
Venezuelan bolívar fuerte,1717.109,fiat
Vietnamese đồng,408141410.386,fiat
South African Rand,297606.941,fiat
IMF Special Drawing Rights,12947.977,fiat
Silver - Troy Ounce,730.358,commodity
Gold - Troy Ounce,9.541,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.506,crypto
Litecoin,224.753,crypto
Bitcoin Cash,156.854,crypto
Binance Coin,59.496,crypto
EOS,16599.704,crypto
XRP,44200.475,crypto
Lumens,200824.783,crypto
Chainlink,2498.886,crypto
Polkadot,3250.661,crypto
Yearn.finance,2.493,crypto
US Dollar,17148.752,fiat
United Arab Emirates Dirham,62987.369,fiat
Argentine Peso,2914058.673,fiat
Australian Dollar,25229.879,fiat
Bangladeshi Taka,1773559.635,fiat
Bahraini Dinar,6455.27,fiat
Bermudian Dollar,17148.752,fiat
Brazil Real,89825.167,fiat
Canadian Dollar,23540.95,fiat
Swiss Franc,16035.815,fiat
Chilean Peso,14780167.091,fiat
Chinese Yuan,119315.877,fiat
Czech Koruna,395143.277,fiat
Danish Krone,121104.492,fiat
Euro,16267.855,fiat
British Pound Sterling,13990.415,fiat
Hong Kong Dollar,133521.046,fiat
Hungarian Forint,6815257.35,fiat
Indonesian Rupiah,267571990.446,fiat
Israeli New Shekel,58632.443,fiat
Indian Rupee,1413762.904,fiat
Japanese Yen,2342090.709,fiat
South Korean Won,22366603.856,fiat
Kuwaiti Dinar,5260.911,fiat
Sri Lankan Rupee,6306565.286,fiat
Burmese Kyat,36037508.638,fiat
Mexican Peso,339150.884,fiat
Malaysian Ringgit,75514.533,fiat
Nigerian Naira,7610717.873,fiat
Norwegian Krone,171580.131,fiat
New Zealand Dollar,26740.616,fiat
Philippine Peso,949612.17,fiat
Pakistani Rupee,3856010.753,fiat
Polish Zloty,76355.679,fiat
Russian Ruble,1072054.317,fiat
Saudi Riyal,64481.076,fiat
Swedish Krona,177492.164,fiat
Singapore Dollar,23253.708,fiat
Thai Baht,593771.399,fiat
Turkish Lira,319843.103,fiat
New Taiwan Dollar,526615.906,fiat
Ukrainian hryvnia,630569.742,fiat
Venezuelan bolívar fuerte,1717.104,fiat
Vietnamese đồng,408140317.414,fiat
South African Rand,297606.144,fiat
IMF Special Drawing Rights,12947.942,fiat
Silver - Troy Ounce,730.356,commodity
Gold - Troy Ounce,9.541,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.504,crypto
Litecoin,224.802,crypto
Bitcoin Cash,156.849,crypto
Binance Coin,59.484,crypto
EOS,16599.918,crypto
XRP,44181.868,crypto
Lumens,200871.158,crypto
Chainlink,2498.709,crypto
Polkadot,3249.093,crypto
Yearn.finance,2.492,crypto
US Dollar,17149.038,fiat
United Arab Emirates Dirham,62988.419,fiat
Argentine Peso,2914107.253,fiat
Australian Dollar,25230.3,fiat
Bangladeshi Taka,1773589.203,fiat
Bahraini Dinar,6455.378,fiat
Bermudian Dollar,17149.038,fiat
Brazil Real,89826.664,fiat
Canadian Dollar,23541.342,fiat
Swiss Franc,16036.083,fiat
Chilean Peso,14780413.493,fiat
Chinese Yuan,119317.866,fiat
Czech Koruna,395149.865,fiat
Danish Krone,121106.511,fiat
Euro,16268.126,fiat
British Pound Sterling,13990.648,fiat
Hong Kong Dollar,133523.272,fiat
Hungarian Forint,6815370.968,fiat
Indonesian Rupiah,267576451.172,fiat
Israeli New Shekel,58633.42,fiat
Indian Rupee,1413786.473,fiat
Japanese Yen,2342129.754,fiat
South Korean Won,22366976.733,fiat
Kuwaiti Dinar,5260.999,fiat
Sri Lankan Rupee,6306670.424,fiat
Burmese Kyat,36038109.424,fiat
Mexican Peso,339156.538,fiat
Malaysian Ringgit,75515.792,fiat
Nigerian Naira,7610844.752,fiat
Norwegian Krone,171582.992,fiat
New Zealand Dollar,26741.061,fiat
Philippine Peso,949628.002,fiat
Pakistani Rupee,3856075.037,fiat
Polish Zloty,76356.952,fiat
Russian Ruble,1072072.189,fiat
Saudi Riyal,64482.151,fiat
Swedish Krona,177495.123,fiat
Singapore Dollar,23254.096,fiat
Thai Baht,593781.298,fiat
Turkish Lira,319848.436,fiat
New Taiwan Dollar,526624.685,fiat
Ukrainian hryvnia,630580.254,fiat
Venezuelan bolívar fuerte,1717.133,fiat
Vietnamese đồng,408147121.573,fiat
South African Rand,297611.106,fiat
IMF Special Drawing Rights,12948.158,fiat
Silver - Troy Ounce,730.368,commodity
Gold - Troy Ounce,9.541,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.505,crypto
Litecoin,224.807,crypto
Bitcoin Cash,156.849,crypto
Binance Coin,59.486,crypto
EOS,16601.247,crypto
XRP,44180.283,crypto
Lumens,200980.626,crypto
Chainlink,2498.768,crypto
Polkadot,3249.04,crypto
Yearn.finance,2.491,crypto
US Dollar,17143.577,fiat
United Arab Emirates Dirham,62968.36,fiat
Argentine Peso,2913179.237,fiat
Australian Dollar,25222.265,fiat
Bangladeshi Taka,1773024.392,fiat
Bahraini Dinar,6453.322,fiat
Bermudian Dollar,17143.577,fiat
Brazil Real,89798.058,fiat
Canadian Dollar,23533.846,fiat
Swiss Franc,16030.976,fiat
Chilean Peso,14775706.573,fiat
Chinese Yuan,119279.869,fiat
Czech Koruna,395024.027,fiat
Danish Krone,121067.944,fiat
Euro,16262.946,fiat
British Pound Sterling,13986.193,fiat
Hong Kong Dollar,133480.751,fiat
Hungarian Forint,6813200.569,fiat
Indonesian Rupiah,267491239.698,fiat
Israeli New Shekel,58614.748,fiat
Indian Rupee,1413336.244,fiat
Japanese Yen,2341383.887,fiat
South Korean Won,22359853.823,fiat
Kuwaiti Dinar,5259.323,fiat
Sri Lankan Rupee,6304662.023,fiat
Burmese Kyat,36026632.852,fiat
Mexican Peso,339048.532,fiat
Malaysian Ringgit,75491.743,fiat
Nigerian Naira,7608421.029,fiat
Norwegian Krone,171528.35,fiat
New Zealand Dollar,26732.546,fiat
Philippine Peso,949325.586,fiat
Pakistani Rupee,3854847.045,fiat
Polish Zloty,76332.635,fiat
Russian Ruble,1071730.781,fiat
Saudi Riyal,64461.617,fiat
Swedish Krona,177438.598,fiat
Singapore Dollar,23246.691,fiat
Thai Baht,593592.204,fiat
Turkish Lira,319746.578,fiat
New Taiwan Dollar,526456.978,fiat
Ukrainian hryvnia,630379.442,fiat
Venezuelan bolívar fuerte,1716.586,fiat
Vietnamese đồng,408017144.448,fiat
South African Rand,297516.329,fiat
IMF Special Drawing Rights,12944.035,fiat
Silver - Troy Ounce,730.136,commodity
Gold - Troy Ounce,9.538,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.505,crypto
Litecoin,224.79,crypto
Bitcoin Cash,156.855,crypto
Binance Coin,59.498,crypto
EOS,16600.626,crypto
XRP,44175.875,crypto
Lumens,200962.57,crypto
Chainlink,2499.633,crypto
Polkadot,3249.474,crypto
Yearn.finance,2.491,crypto
US Dollar,17148.661,fiat
United Arab Emirates Dirham,62987.032,fiat
Argentine Peso,2914043.097,fiat
Australian Dollar,25229.744,fiat
Bangladeshi Taka,1773550.156,fiat
Bahraini Dinar,6455.236,fiat
Bermudian Dollar,17148.661,fiat
Brazil Real,89824.687,fiat
Canadian Dollar,23540.824,fiat
Swiss Franc,16035.73,fiat
Chilean Peso,14780088.093,fiat
Chinese Yuan,119315.239,fiat
Czech Koruna,395141.165,fiat
Danish Krone,121103.845,fiat
Euro,16267.768,fiat
British Pound Sterling,13990.34,fiat
Hong Kong Dollar,133520.333,fiat
Hungarian Forint,6815220.924,fiat
Indonesian Rupiah,267570560.313,fiat
Israeli New Shekel,58632.129,fiat
Indian Rupee,1413755.348,fiat
Japanese Yen,2342078.19,fiat
South Korean Won,22366484.31,fiat
Kuwaiti Dinar,5260.883,fiat
Sri Lankan Rupee,6306531.579,fiat
Burmese Kyat,36037316.023,fiat
Mexican Peso,339149.072,fiat
Malaysian Ringgit,75514.129,fiat
Nigerian Naira,7610677.195,fiat
Norwegian Krone,171579.214,fiat
New Zealand Dollar,26740.473,fiat
Philippine Peso,949607.095,fiat
Pakistani Rupee,3855990.143,fiat
Polish Zloty,76355.271,fiat
Russian Ruble,1072048.587,fiat
Saudi Riyal,64480.732,fiat
Swedish Krona,177491.215,fiat
Singapore Dollar,23253.584,fiat
Thai Baht,593768.226,fiat
Turkish Lira,319841.394,fiat
New Taiwan Dollar,526613.091,fiat
Ukrainian hryvnia,630566.371,fiat
Venezuelan bolívar fuerte,1717.095,fiat
Vietnamese đồng,408138135.964,fiat
South African Rand,297604.554,fiat
IMF Special Drawing Rights,12947.873,fiat
Silver - Troy Ounce,730.352,commodity
Gold - Troy Ounce,9.541,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.505,crypto
Litecoin,224.756,crypto
Bitcoin Cash,156.857,crypto
Binance Coin,59.493,crypto
EOS,16605.859,crypto
XRP,44170.74,crypto
Lumens,200912.156,crypto
Chainlink,2500.198,crypto
Polkadot,3248.873,crypto
Yearn.finance,2.491,crypto
US Dollar,17150.77,fiat
United Arab Emirates Dirham,62994.781,fiat
Argentine Peso,2914401.615,fiat
Australian Dollar,25232.848,fiat
Bangladeshi Taka,1773768.358,fiat
Bahraini Dinar,6456.03,fiat
Bermudian Dollar,17150.77,fiat
Brazil Real,89835.738,fiat
Canadian Dollar,23543.72,fiat
Swiss Franc,16037.703,fiat
Chilean Peso,14781906.503,fiat
Chinese Yuan,119329.919,fiat
Czech Koruna,395189.78,fiat
Danish Krone,121118.744,fiat
Euro,16269.77,fiat
British Pound Sterling,13992.062,fiat
Hong Kong Dollar,133536.76,fiat
Hungarian Forint,6816059.408,fiat
Indonesian Rupiah,267603479.81,fiat
Israeli New Shekel,58639.343,fiat
Indian Rupee,1413929.284,fiat
Japanese Yen,2342366.339,fiat
South Korean Won,22369236.083,fiat
Kuwaiti Dinar,5261.53,fiat
Sri Lankan Rupee,6307307.478,fiat
Burmese Kyat,36041749.733,fiat
Mexican Peso,339190.797,fiat
Malaysian Ringgit,75523.42,fiat
Nigerian Naira,7611613.545,fiat
Norwegian Krone,171600.324,fiat
New Zealand Dollar,26743.763,fiat
Philippine Peso,949723.926,fiat
Pakistani Rupee,3856464.55,fiat
Polish Zloty,76364.665,fiat
Russian Ruble,1072180.482,fiat
Saudi Riyal,64488.665,fiat
Swedish Krona,177513.052,fiat
Singapore Dollar,23256.445,fiat
Thai Baht,593841.278,fiat
Turkish Lira,319880.744,fiat
New Taiwan Dollar,526677.881,fiat
Ukrainian hryvnia,630643.951,fiat
Venezuelan bolívar fuerte,1717.306,fiat
Vietnamese đồng,408188349.644,fiat
South African Rand,297641.168,fiat
IMF Special Drawing Rights,12949.466,fiat
Silver - Troy Ounce,730.442,commodity
Gold - Troy Ounce,9.542,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.506,crypto
Litecoin,224.719,crypto
Bitcoin Cash,156.855,crypto
Binance Coin,59.482,crypto
EOS,16606.496,crypto
XRP,44172.885,crypto
Lumens,200900.282,crypto
Chainlink,2500.97,crypto
Polkadot,3248.608,crypto
Yearn.finance,2.494,crypto
US Dollar,17150.162,fiat
United Arab Emirates Dirham,62992.546,fiat
Argentine Peso,2914298.189,fiat
Australian Dollar,25231.953,fiat
Bangladeshi Taka,1773705.41,fiat
Bahraini Dinar,6455.801,fiat
Bermudian Dollar,17150.162,fiat
Brazil Real,89832.55,fiat
Canadian Dollar,23542.885,fiat
Swiss Franc,16037.133,fiat
Chilean Peso,14781381.924,fiat
Chinese Yuan,119325.684,fiat
Czech Koruna,395175.755,fiat
Danish Krone,121114.446,fiat
Euro,16269.192,fiat
British Pound Sterling,13991.565,fiat
Hong Kong Dollar,133532.021,fiat
Hungarian Forint,6815817.52,fiat
Indonesian Rupiah,267593983.124,fiat
Israeli New Shekel,58637.262,fiat
Indian Rupee,1413879.106,fiat
Japanese Yen,2342283.213,fiat
South Korean Won,22368442.246,fiat
Kuwaiti Dinar,5261.343,fiat
Sri Lankan Rupee,6307083.645,fiat
Burmese Kyat,36040470.687,fiat
Mexican Peso,339178.76,fiat
Malaysian Ringgit,75520.739,fiat
Nigerian Naira,7611343.424,fiat
Norwegian Krone,171594.234,fiat
New Zealand Dollar,26742.814,fiat
Philippine Peso,949690.222,fiat
Pakistani Rupee,3856327.692,fiat
Polish Zloty,76361.955,fiat
Russian Ruble,1072142.433,fiat
Saudi Riyal,64486.376,fiat
Swedish Krona,177506.752,fiat
Singapore Dollar,23255.62,fiat
Thai Baht,593820.203,fiat
Turkish Lira,319869.392,fiat
New Taiwan Dollar,526659.19,fiat
Ukrainian hryvnia,630621.571,fiat
Venezuelan bolívar fuerte,1717.245,fiat
Vietnamese đồng,408173863.895,fiat
South African Rand,297630.605,fiat
IMF Special Drawing Rights,12949.007,fiat
Silver - Troy Ounce,730.416,commodity
Gold - Troy Ounce,9.542,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.503,crypto
Litecoin,224.628,crypto
Bitcoin Cash,156.835,crypto
Binance Coin,59.478,crypto
EOS,16598.97,crypto
XRP,44204.622,crypto
Lumens,200928.943,crypto
Chainlink,2500.667,crypto
Polkadot,3248.429,crypto
Yearn.finance,2.494,crypto
US Dollar,17135.893,fiat
United Arab Emirates Dirham,62940.135,fiat
Argentine Peso,2911873.432,fiat
Australian Dollar,25210.959,fiat
Bangladeshi Taka,1772229.65,fiat
Bahraini Dinar,6450.429,fiat
Bermudian Dollar,17135.893,fiat
Brazil Real,89757.807,fiat
Canadian Dollar,23523.297,fiat
Swiss Franc,16023.79,fiat
Chilean Peso,14769083.503,fiat
Chinese Yuan,119226.403,fiat
Czech Koruna,394846.961,fiat
Danish Krone,121013.676,fiat
Euro,16255.656,fiat
British Pound Sterling,13979.924,fiat
Hong Kong Dollar,133420.92,fiat
Hungarian Forint,6810146.616,fiat
Indonesian Rupiah,267371339.286,fiat
Israeli New Shekel,58588.475,fiat
Indian Rupee,1412702.729,fiat
Japanese Yen,2340334.384,fiat
South Korean Won,22349831.23,fiat
Kuwaiti Dinar,5256.966,fiat
Sri Lankan Rupee,6301836.018,fiat
Burmese Kyat,36010484.255,fiat
Mexican Peso,338896.556,fiat
Malaysian Ringgit,75457.905,fiat
Nigerian Naira,7605010.626,fiat
Norwegian Krone,171451.464,fiat
New Zealand Dollar,26720.563,fiat
Philippine Peso,948900.06,fiat
Pakistani Rupee,3853119.146,fiat
Polish Zloty,76298.42,fiat
Russian Ruble,1071250.388,fiat
Saudi Riyal,64432.722,fiat
Swedish Krona,177359.063,fiat
Singapore Dollar,23236.27,fiat
Thai Baht,593326.132,fiat
Turkish Lira,319603.254,fiat
New Taiwan Dollar,526220.998,fiat
Ukrainian hryvnia,630096.88,fiat
Venezuelan bolívar fuerte,1715.816,fiat
Vietnamese đồng,407834254.631,fiat
South African Rand,297382.971,fiat
IMF Special Drawing Rights,12938.233,fiat
Silver - Troy Ounce,729.808,commodity
Gold - Troy Ounce,9.534,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.503,crypto
Litecoin,224.63,crypto
Bitcoin Cash,156.827,crypto
Binance Coin,59.478,crypto
EOS,16602.18,crypto
XRP,44203.526,crypto
Lumens,200925.619,crypto
Chainlink,2500.651,crypto
Polkadot,3248.386,crypto
Yearn.finance,2.494,crypto
US Dollar,17139.915,fiat
United Arab Emirates Dirham,62954.909,fiat
Argentine Peso,2912556.969,fiat
Australian Dollar,25216.877,fiat
Bangladeshi Taka,1772645.666,fiat
Bahraini Dinar,6451.944,fiat
Bermudian Dollar,17139.915,fiat
Brazil Real,89778.877,fiat
Canadian Dollar,23528.819,fiat
Swiss Franc,16027.552,fiat
Chilean Peso,14772550.419,fiat
Chinese Yuan,119254.39,fiat
Czech Koruna,394939.648,fiat
Danish Krone,121042.083,fiat
Euro,16259.472,fiat
British Pound Sterling,13983.205,fiat
Hong Kong Dollar,133452.239,fiat
Hungarian Forint,6811745.24,fiat
Indonesian Rupiah,267434102.428,fiat
Israeli New Shekel,58602.228,fiat
Indian Rupee,1413034.349,fiat
Japanese Yen,2340883.758,fiat
South Korean Won,22355077.662,fiat
Kuwaiti Dinar,5258.2,fiat
Sri Lankan Rupee,6303315.321,fiat
Burmese Kyat,36018937.409,fiat
Mexican Peso,338976.109,fiat
Malaysian Ringgit,75475.618,fiat
Nigerian Naira,7606795.838,fiat
Norwegian Krone,171491.711,fiat
New Zealand Dollar,26726.835,fiat
Philippine Peso,949122.806,fiat
Pakistani Rupee,3854023.633,fiat
Polish Zloty,76316.331,fiat
Russian Ruble,1071501.855,fiat
Saudi Riyal,64447.847,fiat
Swedish Krona,177400.696,fiat
Singapore Dollar,23241.725,fiat
Thai Baht,593465.411,fiat
Turkish Lira,319678.279,fiat
New Taiwan Dollar,526344.524,fiat
Ukrainian hryvnia,630244.79,fiat
Venezuelan bolívar fuerte,1716.219,fiat
Vietnamese đồng,407929990.245,fiat
South African Rand,297452.779,fiat
IMF Special Drawing Rights,12941.27,fiat
Silver - Troy Ounce,729.98,commodity
Gold - Troy Ounce,9.536,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.503,crypto
Litecoin,224.746,crypto
Bitcoin Cash,156.911,crypto
Binance Coin,59.471,crypto
